"","esttrend","estseasonal","residseries","Yearfrac"
"84",52.6164639481613,-22.4495941394043,6.83308292763112,1906.9167
"85",52.6057163647806,-22.4495941394043,-10.2561651654537,1907
"86",52.5950830020897,-19.7994443692906,6.10432265919214,1907.0833
"87",52.584551983616,-12.1336664852354,1.04906737555477,1907.1667
"88",52.5741491808089,-1.4727297981467,-1.30146232283579,1907.25
"89",52.5638624521591,7.80180824296988,-4.26570954228756,1907.3333
"90",52.5536801553256,16.5053287998277,-6.05905594163376,1907.4167
"91",52.5436271512484,26.0263872944837,-4.77005738596829,1907.5
"92",52.5336915542997,25.0100525551016,-5.44378309736366,1907.5833
"93",52.523861999037,14.4175524368793,-1.94146128123349,1907.6667
"94",52.5141623698978,2.28872571191695,6.2970689778821,1907.75
"95",52.504581090764,-13.0172078290495,5.21258760827951,1907.8333
